,user_id,average_rating,rating_count,rating_std,favorite_category
0,1,3.75,8,1.2817398889233114,B
1,2,3.75,4,1.8929694486000912,D
2,3,4.0,1,0.0,C
3,4,3.2,5,2.04939015319192,D
4,5,3.7142857142857144,7,1.4960264830861913,E
5,6,3.5,4,1.9148542155126764,E
6,7,2.0,4,1.4142135623730951,B
7,8,2.75,4,2.06155281280883,D
8,9,1.5,4,0.5773502691896257,E
9,10,2.75,4,1.2583057392117916,C
10,11,2.0,3,1.0,C
11,12,3.6,5,1.140175425099138,D
12,13,2.2,5,1.7888543819998317,E
13,14,2.1666666666666665,6,0.9831920802501751,B
14,15,3.2,5,1.6431676725154984,E
15,16,3.0,2,1.4142135623730951,C
16,17,2.8,5,1.4832396974191326,B
17,18,4.0,2,0.0,B
18,19,3.0,3,2.0,A
19,20,2.75,4,2.0615528128088303,C
20,21,1.0,2,0.0,D
21,22,3.0,3,2.0,A
22,23,2.5,4,1.2909944487358056,D
23,25,2.5714285714285716,7,1.2724180205607034,A
24,26,3.0,4,1.8257418583505538,D
25,27,3.5,2,0.7071067811865476,A
26,28,3.0,5,1.4142135623730951,E
27,29,3.4,5,1.51657508881031,D
28,30,1.0,1,0.0,A
29,31,4.0,1,0.0,D
30,32,1.0,1,0.0,A
31,33,2.0,3,1.7320508075688772,D
32,34,2.2,5,1.6431676725154982,E
33,35,2.8333333333333335,6,1.4719601443879746,B
34,36,2.5,6,0.8366600265340756,B
35,37,4.0,3,1.7320508075688772,C
36,38,4.0,5,1.224744871391589,E
37,39,2.111111111111111,9,1.2692955176439846,E
38,40,3.5,2,0.7071067811865476,B
39,41,3.0,4,1.4142135623730951,B
40,42,3.0,7,0.8164965809277261,E
41,43,2.5,2,0.7071067811865476,E
42,44,2.8,5,1.3038404810405297,D
43,45,2.0,1,0.0,C
44,46,1.0,4,0.0,D
45,47,2.5714285714285716,7,1.7182493859684491,A
46,48,2.3333333333333335,3,1.5275252316519468,E
47,49,2.75,4,1.707825127659933,C
48,50,4.0,1,0.0,E
49,51,4.0,8,1.0690449676496974,D
50,52,2.6666666666666665,3,1.1547005383792515,A
51,53,2.5,8,1.5118578920369088,C
52,54,2.5,8,1.6035674514745464,E
53,55,2.6,5,1.3416407864998738,C
54,56,3.5,2,2.1213203435596424,D
55,57,3.5,2,2.1213203435596424,A
56,58,3.1666666666666665,6,1.4719601443879746,C
57,59,3.3333333333333335,3,0.5773502691896257,E
58,60,4.0,3,1.0,C
